
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.55906
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.42183
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.65666
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.46655
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.64891
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.4527
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.43949
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.68636
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.39431
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.43818
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.59984
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.5684
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.49244
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.44431
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,1.425
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.43726
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.59253
optmask_anda_catfeat_fill_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.27309
beval_ct_cos_catfeat_fill_alpha0.8_steps50_ens4_model0178_bmodel2, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha1.6_steps50_ens4_model0178_bmodel2, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha3.2_steps50_ens4_model0178_bmodel2, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha1.6_steps50_ens9_model013456789_bmodel2, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha0.8_steps50_ens9_model013456789_bmodel2, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha3.2_steps100_ens4_model0178_bmodel2, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha1.6_steps100_ens4_model0178_bmodel2, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha3.2_steps50_ens9_model013456789_bmodel2, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha0.8_steps100_ens4_model0178_bmodel2, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha1.2_steps50_ens4_model0178_bmodel347, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha1.6_steps50_ens4_model0178_bmodel347, ens1, mean cosine similarty,0.0
optmask_pict_catfeat_fill_eps40_steps50_ens1_model0, ens1, mean cosine similarty,0.73401
optmask_pict_catfeat_fill_eps40_steps50_ens1_model1, ens1, mean cosine similarty,0.72801
optmask_pict_catfeat_fill_eps40_steps50_ens1_model7, ens1, mean cosine similarty,0.49006
optmask_pict_catfeat_fill_eps40_steps50_ens1_model8, ens1, mean cosine similarty,0.48574
beval_ct_cos_catfeat_fill_alpha3.2_steps50_ens4_model0178_bmodel234569, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha1.6_steps50_ens4_model0178_bmodel234569, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_multitgt_alpha1.6_steps50_ens2_model0178_bmodel347, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_multitgt_alpha1.2_steps50_ens2_model0178_bmodel347, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha1.2_steps50_ens4_model0178_bmodel234569, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha3.2_steps200_ens4_model0178_bmodel2, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_multitgt_alpha3.2_steps50_ens2_model0178_bmodel347, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha0.8_steps100_ens9_model013456789_bmodel2, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha3.2_steps100_ens9_model013456789_bmodel2, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha1.6_steps100_ens9_model013456789_bmodel2, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha1.6_steps200_ens4_model0178_bmodel2, ens1, mean cosine similarty,0.0
beval_ct_cos_catfeat_fill_alpha0.8_steps200_ens4_model0178_bmodel2, ens1, mean cosine similarty,0.0
optmask_ct_catfeat_fill@square_bottom_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.33233
optmask_ct_catfeat_fill@square_center_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.39704
optmask_ct_catfeat_fill@square_top_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.11339
optmask_ct_catfeat_fill@square_center_alpha1.6_steps50_ens4_model0178, ens1, mean cosine similarty,0.38127
